KA,KU,Tier,Level,Number,Learning Outcome,,,
SE,Software Construction,2,Familiarity,7,Describe the process of analyzing and implementing changes to a large existing code base.,,,
SE,Software Construction,3,Usage,8,"Rewrite a simple program to remove common vulnerabilities, such as buffer overflows, integer overflows and race conditions.",8/19/13,Outcome removed,
SE,Software Construction,3,Usage,9,Write a software component that performs some non-trivial task and is resilient to input and run-time errors.,8/19/13,New,
,,,,,,,,
SE,Software Verification Validation,0,3,,,,,
SE,Software Verification Validation,2,Familiarity,1,Distinguish between program validation and verification.,,,
SE,Software Verification Validation,2,Familiarity,2,Describe the role that tools can play in the validation of software.,,,
SE,Software Verification Validation,2,Usage,3,"Undertake, as part of a team activity, an inspection of a medium-size code segment.",,,
SE,Software Verification Validation,2,Familiarity,4,"Describe and distinguish among the different types and levels of testing (unit, integration, systems, and acceptance).",,,
SE,Software Verification Validation,2,Familiarity,5,"Describe techniques for identifying significant test cases for integration, regression and system testing.",,,
SE,Software Verification Validation,2,Usage,6,Create and document a set of tests for a medium-size code segment.,8/19/13,Revised,
SE,Software Verification Validation,2,Familiarity,7,Describe how to select good regression tests and automate them.,8/19/13,Revised,
SE,Software Verification Validation,2,Usage,8,Use a defect tracking tool to manage software defects in a small software project.,8/19/13,Revised,
SE,Software Verification Validation,2,Familiarity,9,Discuss the limitations of testing in a particular domain.,8/19/13,Revised,
SE,Software Verification Validation,3,Usage,10,Evaluate a test suite for a medium-size code segment.,8/19/13,Revised,
SE,Software Verification Validation,3,Familiarity,11,Compare static and dynamic approaches to verification.,8/19/13,Revised,
SE,Software Verification Validation,3,Familiarity,12,Identify the fundamental principles of test-driven development methods and explain the role of automated testing in these methods.,8/19/13,Revised,
SE,Software Verification Validation,3,Usage,13,Discuss the issues involving the testing of object-oriented software.,8/19/13,New,
SE,Software Verification Validation,3,Familiarity,14,Describe techniques for the verification and validation of non-code artifacts.,8/19/13,New,
SE,Software Verification Validation,3,Familiarity,15,Describe approaches for fault estimation.,8/19/13,New,
SE,Software Verification Validation,3,Usage,16,Estimate the number of faults in a small software application based on fault density and fault seeding.,,,
SE,Software Verification Validation,3,Usage,17,Conduct an inspection or review of software source code for a small or medium sized software project.,,,
,,,,,,,,
SE,Software Evolution,0,2,,,,,
SE,Software Evolution,2,Familiarity,1,Identify the principal issues associated with software evolution and explain their impact on the software lifecycle.,,,
SE,Software Evolution,2,Usage,2,Estimate the impact of a change request to an existing product of medium size.,,,
SE,Software Evolution,2,Usage,3,Use refactoring in the process of modifying a software component.,8/19/13,Revised,
SE,Software Evolution,2,Familiarity,4,Discuss the challenges of evolving systems in a changing environment.,,,
SE,Software Evolution,2,Familiarity,5,Outline the process of regression testing and its role in release management.,,,
SE,Software Evolution,2,Familiarity,6,Discuss the advantages and disadvantages of different types of software reuse.,,,
,,,,,,,,
SE,Software Reliability,0,1,,,,,
SE,Software Reliability,2,Familiarity,1,Explain the problems that exist in achieving very high levels of reliability.,,,
SE,Software Reliability,2,Familiarity,2,Describe how software reliability contributes to system reliability.,,,
SE,Software Reliability,2,Familiarity,3,List approaches to minimizing faults that can be applied at each stage of the software lifecycle.,,,
SE,Software Reliability,3,Familiarity,4,Compare the characteristics of three different reliability modeling approaches.,,,
SE,Software Reliability,3,Usage,5,Demonstrate the ability to apply multiple methods to develop reliability estimates for a software system.,,,
SE,Software Reliability,3,Usage,6,Identify methods that will lead to the realization of a software architecture that achieves a specified level of reliability.,,,
SE,Software Reliability,3,Usage,7,Identify ways to apply redundancy to achieve fault tolerance for a medium-sized application.,,,
,,,,,,,,
SE,Formal Methods,0,0,,,,,
SE,Formal Methods,3,Familiarity,1,Describe the role formal specification and analysis techniques can play in the development of complex software and compare their use as validation and verification techniques with testing.,,,
SE,Formal Methods,3,Usage,2,Apply formal specification and analysis techniques to software designs and programs with low complexity.,,,
SE,Formal Methods,3,Familiarity,3,Explain the potential benefits and drawbacks of using formal specification languages.,,,
SE,Formal Methods,3,Usage,4,Create and evaluate program assertions for a variety of behaviors ranging from simple through complex.,,,
SE,Formal Methods,3,Usage,5,"Using a common formal specification language, formulate the specification of a simple software system and derive examples of test cases from the specification.",,,
,,,,,,,,
SF,Computational Paradigms,3,0,,,,,
SF,Computational Paradigms,1,Familiarity,1,List commonly encountered patterns of how computations are organized.,,,
SF,Computational Paradigms,1,Familiarity,2,Describe the basic building blocks of computers and their role in the historical development of computer architecture.,,,
SF,Computational Paradigms,1,Familiarity,3,"Articulate the differences between single thread vs multiple thread, single server vs multiple server models, motivated by real world examples (eg, cooking recipes, lines for multiple teller machines and couples shopping for food).",,,
SF,Computational Paradigms,1,Familiarity,4,"Articulate the concept of strong vs weak scaling, ie, how performance is affected by scale of problem vs scale of resources to solve the problem This can be motivated by the simple, real-world examples.",,,
SF,Computational Paradigms,1,Usage,5,Design a simple logic circuit using the fundamental building blocks of logic design.,,,
SF,Computational Paradigms,1,Usage,6,"Use tools for capture, synthesis, and simulation to evaluate a logic design.",,,
SF,Computational Paradigms,1,Usage,7,Write a simple sequential problem and a simple parallel version of the same program.,,,
SF,Computational Paradigms,1,Assessment,8,"Evaluate performance of simple sequential and parallel versions of a program with different problem sizes, and be able to describe the speed-ups achieved.",,,
,,,,,,,,
SF,Cross-Layer Communications,3,0,,,,,
SF,Cross-Layer Communications,1,Familiarity,1,"Describe how computing systems are constructed of layers upon layers, based on separation of concerns, with well-defined interfaces, hiding details of low layers from the higher layers.",,,
SF,Cross-Layer Communications,1,Familiarity,2,"Describe that hardware, VM, OS, application are additional layers of interpretation/processing.",,,
SF,Cross-Layer Communications,1,Familiarity,3,"Describe the mechanisms of how errors are detected, signaled back, and handled through the layers.",,,
SF,Cross-Layer Communications,1,Usage,4,"Construct a simple program using methods of layering, error detection and recovery, and reflection of error status across layers.",,,
SF,Cross-Layer Communications,1,Usage,5,"Find bugs in a layered program by using tools for program tracing, single stepping, and debugging.",8/19/13,Changed level,
,,,,,,,,
SF,State and State Machines,6,0,,,8/19/13,Changed KU name,
SF,State and State Machines,1,Familiarity,1,Describe computations as a system characyterized by a known set of configurations with transitions from one unique configuration (state) to another (state).,8/19/13,Revised,
SF,State and State Machines,1,Familiarity,2,Describe the distinction between systems whose output is only a function of their input (Combinational) and those with memory/history (Sequential).,,,
SF,State and State Machines,1,Familiarity,3,Describe a computer as a state machine that interprets machine instructions.,,,
SF,State and State Machines,1,Familiarity,4,"Explain how a program or network protocol can also be expressed as a state machine, and that alternative representations for the same computation can exist.",,,
SF,State and State Machines,1,Usage,5,"Develop state machine descriptions for simple problem statement solutions (eg, traffic light sequencing, pattern recognizers).",,,
SF,State and State Machines,1,Assessment,6,Derive time-series behavior of a state machine from its state machine representation.,,,
,,,,,,,,
SF,Parallelism,1,0,,,,,
SF,Parallelism,1,Familiarity,1,"For a given program, distinguish between its sequential and parallel execution, and the performance implications thereof.",,,
SF,Parallelism,1,Familiarity,2,"Demonstrate on an execution time line that parallelism events and operations can take place simultaneously (ie, at the same time) Explain how work can be performed in less elapsed time if this can be exploited.",,,
SF,Parallelism,1,Familiarity,3,"Explain other uses of parallelism, such as for reliability/redundancy of execution.",,,
SF,Parallelism,1,Familiarity,4,"Define the differences between the concepts of Instruction Parallelism, Data Parallelism, Thread Parallelism/Multitasking, Task/Request Parallelism.",,,
SF,Parallelism,1,Usage,5,"Write more than one parallel program (eg, one simple parallel program in more than one parallel programming paradigm; a simple parallel program that manages shared resources through synchronization primitives; a simple parallel program that performs simultaneous operation on partitioned data through task parallel (eg, parallel search terms; a simple parallel program that performs step-by-step pipeline processing through message passing).",,,
SF,Parallelism,1,Assessment,6,Use performance tools to measure speed-up achieved by parallel programs in terms of both problem size and number of resources.,,,
,,,,,,,,
SF,Evaluation,3,0,,,,,
SF,Evaluation,1,Familiarity,1,Explain how the components of system architecture contribute to improving its performance.,,,
SF,Evaluation,1,Familiarity,2,Describe Amdahl’s law and discuss its limitations.,,,
SF,Evaluation,1,Usage,3,Design and conduct a performance-oriented experiment.,,,
SF,Evaluation,1,Assessment,4,Use software tools to profile and measure program performance.,,,
,,,,,,,,
SF,Resource Allocation and Scheduling,0,2,,,,,
SF,Resource Allocation and Scheduling,2,Familiarity,1,"Define how finite computer resources (eg, processor share, memory,  storage and network bandwidth) are managed by their careful allocation to existing entities.",,,
SF,Resource Allocation and Scheduling,2,Familiarity,2,"Describe the scheduling algorithms by which resources are allocated to competing entities, and the figures of merit by which these algorithms are evaluated, such as fairness.",,,
SF,Resource Allocation and Scheduling,2,Usage,3,Implement simple schedule algorithms.,,,
SF,Resource Allocation and Scheduling,2,Assessment,4,Use figures of merit of alternative scheduler implementations.,,,
,,,,,,,,
SF,Proximity,0,3,,,,,
SF,Proximity,2,Familiarity,1,Explain the importance of locality in determining performance.,,,
SF,Proximity,2,Familiarity,2,Describe why things that are close in space take less time to access.,,,
SF,Proximity,2,Assessment,3,"Calculate average memory access time and describe the tradeoffs in memory hierarchy performance in terms of capacity, miss/hit rate, and access time.",,,
,,,,,,,,
SF,Virtualization and Isolation,0,2,,,,,
SF,Virtualization and Isolation,2,Familiarity,1,Explain why it is important to isolate and protect the execution of individual programs and environments that share common underlying resources.,8/19/13,Revised,
SF,Virtualization and Isolation,2,Familiarity,2,Describe how the concept of indirection can create the illusion of a dedicated machine and its resources even when physically shared among multiple programs and environments.,,,
SF,Virtualization and Isolation,2,Assessment,3,"Measure the performance of two application instances running on separate virtual machines, and determine the effect of performance isolation.",,,
,,,,,,,,
SF,Reliability through Redundancy,0,2,,,,,
SF,Reliability through Redundancy,2,Familiarity,1,"Explain the distinction between program errors, system errors, and hardware faults (eg, bad memory) and exceptions (eg, attempt to divide by zero).",,,
SF,Reliability through Redundancy,2,Familiarity,2,"Articulate the distinction between detecting, handling, and recovering from faults, and the methods for their implementation.",,,
SF,Reliability through Redundancy,2,Familiarity,3,"Describe the role of error correcting codes in providing error checking and correction techniques in memories, storage, and networks.",,,
SF,Reliability through Redundancy,2,Usage,4,Apply simple algorithms for exploiting redundant information for the purposes of data correction.,,,
SF,Reliability through Redundancy,2,Assessment,5,"Compare different error detection and correction methods for their data overhead, implementation complexity, and relative execution time for encoding, detecting, and correcting errors.",,,
,,,,,,,,
SF,Quantitative Evaluation,0,0,,,,,
SF,Quantitative Evaluation,3,Familiarity,1,Explain the circumstances in which a given figure of system performance metric is useful.,,,
SF,Quantitative Evaluation,3,Familiarity,2,Explain the inadequacies of benchmarks as a measure of system performance.,,,
SF,Quantitative Evaluation,3,Usage,3,Use limit studies or simple calculations to produce order-of-magnitude estimates for a given performance metric in a given context.,,,
SF,Quantitative Evaluation,3,Assessment,4,Conduct a performance experiment on a layered system to determine the effect of a system parameter on figure of system performance.,,,
,,,,,,,,
SP,Social Context,1,2,,,,,
SP,Social Context,1,Familiarity,1,"Describe positive and negative ways in which computer technology (networks, mobile computing, cloud computing) alters modes of social interaction at the personal level.",,,
SP,Social Context,1,Familiarity,2,"Identify developers’ assumptions and values embedded in hardware and software design, especially as they pertain to usability for diverse populations including under-represented populations and the disabled.",,,
SP,Social Context,1,Familiarity,3,Interpret the social context of a given design and its implementation.,,,
SP,Social Context,1,Assessment,4,Evaluate the efficacy of a given design and implementation using empirical data.,,,
SP,Social Context,1,Usage,5,Summarize the implications of social media on individualism versus collectivism and culture.,,,
SP,Social Context,2,Familiarity,6,Discuss how Internet access serves as a liberating force for people living under oppressive forms of government; explain how limits on Internet access are used as tools of political and social repression.,,,
SP,Social Context,2,Assessment,7,"Analyze the pros and cons of reliance on computing in the implementation of democracy (eg delivery of social services, electronic voting).",,,
SP,Social Context,2,Familiarity,8,"Describe the impact of the under-representation of diverse populations in the computing profession (eg, industry culture, product diversity).",,,
SP,Social Context,2,Familiarity,9,Explain the implications of context awareness in ubiquitous computing systems.,8/19/13,changed level,
,,,,,,,,
SP,Analytical Tools,2,0,,,,,
SP,Analytical Tools,1,Assessment,1,Evaluate stakeholder positions in a given situation.,,,
SP,Analytical Tools,1,Assessment,2,Analyze basic logical fallacies in an argument.,,,
SP,Analytical Tools,1,Assessment,3,Analyze an argument to identify premises and conclusion.,,,
SP,Analytical Tools,1,Usage,4,Illustrate the use of example and analogy in ethical argument.,,,
SP,Analytical Tools,1,Assessment,5,Evaluate ethical/social tradeoffs in technical decisions.,,,
,,,,,,,,
SP,Professional Ethics,2,2,,,,,
SP,Professional Ethics,1,Familiarity,1,Identify ethical issues that arise in software development and determine how to address them technically and ethically.,,,
SP,Professional Ethics,1,Familiarity,2,"Explain the ethical responsibility of ensuring software correctness, reliability and safety. ",,,
SP,Professional Ethics,1,Familiarity,3,Describe the mechanisms that typically exist for a professional to keep up-to-date.,,,
SP,Professional Ethics,1,Familiarity,4,Describe the strengths and weaknesses of relevant professional codes as expressions of professionalism and guides to decision-making.,,,
SP,Professional Ethics,1,Assessment,5,"Analyze a global computing issue, observing the role of professionals and government officials in managing this problem.",,,
SP,Professional Ethics,1,Assessment,6,"Evaluate the professional codes of ethics from the ACM, the IEEE Computer Society, and other organizations.",,,
SP,Professional Ethics,2,Familiarity,7,Describe ways in which professionals may contribute to public policy.,,,
SP,Professional Ethics,2,Familiarity,8,Describe the consequences of inappropriate professional behavior.,,,
SP,Professional Ethics,2,Familiarity,9,Identify progressive stages in a whistle-blowing incident.,,,
SP,Professional Ethics,2,Familiarity,10,Identify examples of how regional culture interplays with ethical dilemmas.,8/19/13,new,
SP,Professional Ethics,2,Usage,11,Investigate forms of harassment and discrimination and avenues of assistance.,,,
SP,Professional Ethics,2,Usage,12,Examine various forms of professional credentialing.,,,
SP,Professional Ethics,2,Familiarity,13,Explain the relationship between ergonomics in computing environments and people’s health.,8/19/13,Revised,
SP,Professional Ethics,2,Assessment,14,Develop a computer usage/acceptable use policy with enforcement measures.,,,
SP,Professional Ethics,2,Familiarity,15,Describe issues associated with industries’ push to focus on time to market versus enforcing quality professional standards.,,,
,,,,,,,,
SP,Intellectual Property,2,0,,,,,
SP,Intellectual Property,1,Familiarity,1,Discuss the philosophical bases of intellectual property.,,,
SP,Intellectual Property,1,Familiarity,2,Discuss the rationale for the legal protection of intellectual property.,,,
SP,Intellectual Property,1,Familiarity,3,Describe legislation aimed at digital copyright infringements.,,,
SP,Intellectual Property,1,Assessment,4,Critique legislation aimed at digital copyright infringements.,,,
SP,Intellectual Property,1,Familiarity,5,Identify contemporary examples of intangible digital intellectual property.,,,
SP,Intellectual Property,1,Assessment,6,Justify uses of copyrighted materials.,,,
SP,Intellectual Property,1,Assessment,7,Evaluate the ethical issues inherent in various plagiarism detection mechanisms.,,,
SP,Intellectual Property,1,Familiarity,8,Interpret the intent and implementation of software licensing.,,,
SP,Intellectual Property,1,Familiarity,9,Discuss the issues involved in securing software patents.,,,
SP,Intellectual Property,1,Assessment,10,"Characterize and contrast the concepts of copyright, patenting and trademarks.",,,
SP,Intellectual Property,3,Familiarity,11,Identify the goals of the open source movement.,,,
SP,Intellectual Property,3,Familiarity,12,Identify the global nature of software piracy.,,,
,,,,,,,,
SP,Privacy and Civil Liberties,2,0,,,5/2/13,Removed #7,
SP,Privacy and Civil Liberties,1,Familiarity,1,Discuss the philosophical basis for the legal protection of personal privacy.,,,
SP,Privacy and Civil Liberties,1,Assessment,2,Evaluate solutions to privacy threats in transactional databases and data warehouses.,,,
SP,Privacy and Civil Liberties,1,Familiarity,3,"Describe the role of data collection in the implementation of pervasive surveillance systems (e.g., RFID, face recognition, toll collection, mobile computing). ",,,
SP,Privacy and Civil Liberties,1,Familiarity,4,Describe the ramifications of differential privacy. ,,,
SP,Privacy and Civil Liberties,1,Usage,5,Investigate the impact of technological solutions to privacy problems.,,,
SP,Privacy and Civil Liberties,3,Assessment,6,"Critique the intent, potential value and implementation of various forms of privacy legislation.",8/19/13,outcome removed,
SP,Privacy and Civil Liberties,3,Familiarity,7,Identify strategies to enable appropriate freedom of expression.,,,
,,,,,,,,
SP,Professional Communication,1,0,,,,,
SP,Professional Communication,1,Usage,1,"Write clear, concise, and accurate technical documents following well-defined standards for format and for including appropriate tables, figures, and references.",,,
SP,Professional Communication,1,Assessment,2,Evaluate written technical documentation to detect problems of various kinds.,,,
SP,Professional Communication,1,Assessment,3,Develop and deliver a good quality formal presentation.,,,
SP,Professional Communication,1,Usage,4,"Plan interactions (eg virtual, face-to-face, shared documents) with others in which they are able to get their point across, and are also able to listen carefully and appreciate the points of others, even when they disagree, and are able to convey to others that they have heard.",,,
SP,Professional Communication,1,Familiarity,5,"Describe the strengths and weaknesses of various forms of communication (eg virtual, face-to-face, shared documents).",,,
SP,Professional Communication,1,Usage,6,Examine appropriate measures used to communicate with stakeholders involved in a project.,,,
SP,Professional Communication,1,Assessment,7,Compare and contrast various collaboration tools.,,,
SP,Professional Communication,3,Familiarity,8,Discuss ways to influence performance and results in cross-cultural teams.,,,
SP,Professional Communication,3,Usage,9,"Examine the tradeoffs and common sources of risk in software projects regarding technology, structure/process, quality, people, market and financial.",,,
SP,Professional Communication,3,Assessment,10,Evaluate personal strengths and weaknesses to work remotely as part of a multinational team.,,,
,,,,,,,,
SP,Sustainability,1,1,,,,,
SP,Sustainability,1,Familiarity,1,Identify ways to be a sustainable practitioner.,,,
SP,Sustainability,1,Usage,2,Illustrate global social and environmental impacts of computer use and disposal (e-waste).,,,
SP,Sustainability,2,Familiarity,3,"Describe the environmental impacts of design choices within the field of computing that relate to algorithm design, operating system design, networking design, database design, etc.",,,
SP,Sustainability,2,Usage,4,Investigate the social and environmental impacts of new system designs through projects.,,,
SP,Sustainability,3,Familiarity,5,Identify guidelines for sustainable IT design or deployment.,,,
SP,Sustainability,3,Familiarity,6,List the sustainable effects of telecommuting or web shopping.,,,
SP,Sustainability,3,Usage,7,"Investigate pervasive computing in areas such as smart energy systems, social networking, transportation, agriculture, supply-chain systems, environmental monitoring and citizen activism.",,,
SP,Sustainability,3,Assessment,8,"Develop applications of computing and assess through research areas pertaining to environmental issues (eg energy, pollution, resource usage, recycling and reuse, food management, farming).",,,
,,,,,,,,
SP,History,0,0,,,,,
SP,History,3,Familiarity,1,Identify significant continuing trends in the history of the computing field.,,,
SP,History,3,Familiarity,2,Identify the contributions of several pioneers in the computing field.,,,
SP,History,3,Familiarity,3,Discuss the historical context for several programming language paradigms.,,,
SP,History,3,Assessment,4,Compare daily life before and after the advent of personal computers and the Internet.,,,
,,,,,,,,
SP,Economies of Computing,0,0,,,5/2/13,name change,
SP,Economies of Computing,3,Familiarity,1,Summarize the rationale for antimonopoly efforts.,,,
SP,Economies of Computing,3,Familiarity,2,Identify several ways in which the information technology industry is affected by shortages in the labor supply.,,,
SP,Economies of Computing,3,Familiarity,3,Identify the evolution of pricing strategies for computing goods and services.,,,
SP,Economies of Computing,3,Familiarity,4,"Discuss the benefits, the drawbacks and the implications of off-shoring and outsourcing.",,,
SP,Economies of Computing,3,Usage,5,Investigate and defend ways to address limitations on access to computing.,,,
SP,Economies of Computing,3,Familiarity,6,Describe the economic benefits of network effects.,8/19/13,new,
,,,,,,,,
SP,"Security Policies, Laws and Computer Crimes",0,0,,,,,
SP,"Security Policies, Laws and Computer Crimes",3,Familiarity,1,List classic examples of computer crimes and social engineering incidents with societal impact.,,,
SP,"Security Policies, Laws and Computer Crimes",3,Familiarity,2,Identify laws that apply to computer crimes.,,,
SP,"Security Policies, Laws and Computer Crimes",3,Familiarity,3,Describe the motivation and  ramifications of cyber terrorism and criminal hacking.,,,
SP,"Security Policies, Laws and Computer Crimes",3,Usage,4,Examine the ethical and legal issues surrounding the misuse of access and various breaches in security.,,,
SP,"Security Policies, Laws and Computer Crimes",3,Familiarity,5,Discuss the professional's role in security and the trade-offs involved.,,,
SP,"Security Policies, Laws and Computer Crimes",3,Usage,6,Investigate measures that can be taken by both individuals and organizations including governments to prevent or mitigate the undesirable effects of computer crimes and identity theft.,,,
SP,"Security Policies, Laws and Computer Crimes",3,Usage,7,"Write a company-wide security policy, which includes procedures for managing passwords and employee monitoring.",,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,KAs ,19,,,,,,
,KUs ,171,,,,,,
,,,,,,,,
,tier 1,253,,,,,,
,tier 2,307,,,,,,
,Elective,550,,,,,,
,total,1110,,,,,,
,,,,,,,,
,Familiarity,583,,,,,,
,Usage,375,,,,,,
,Assessment,152,,,,,,
,total,1110,,,,,,
,,,,,,,,
,Differences,0,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
